2023-Feb-22 10:39:03 AM [main] INFO  vit.automationTesting.stepdefs.StepDefs - Browser got Set
2023-Feb-22 10:39:04 AM [main] INFO  vit.automationTesting.stepdefs.StepDefs - Browser got Maximize
2023-Feb-22 10:39:04 AM [main] INFO  vit.automationTesting.stepdefs.StepDefs - Browser implicit timeout set to :> 20
2023-Feb-22 10:39:19 AM [main] INFO  vit.automationTesting.pageObjects.LandingPageObject - Browser got invoke the base URL:> https://amazon.in
2023-Feb-22 10:39:19 AM [main] INFO  vit.automationTesting.pageObjects.LandingPageObject - Assertion of page Validation title was passed with expectes as:> Online Shopping site in India: Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.inAs Actual was:> Online Shopping site in India: Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.in
2023-Feb-22 10:39:25 AM [main] INFO  vit.automationTesting.pageObjects.LandingPageObject - Waiting for Element:> SearchBoxElement to be clickable
2023-Feb-22 10:39:26 AM [main] INFO  vit.automationTesting.pageObjects.LandingPageObject - Sending Key into WebElement:> SearchBoxElement
2023-Feb-22 10:39:40 AM [main] INFO  vit.automationTesting.pageObjects.LandingPageObject - Clickimg on the Search Button
2023-Feb-22 10:39:42 AM [main] INFO  vit.automationTesting.stepdefs.StepDefs - Browser got Closed
2023-Feb-22 10:39:46 AM [main] INFO  vit.automationTesting.stepdefs.StepDefs - Browser got Set
2023-Feb-22 10:39:46 AM [main] INFO  vit.automationTesting.stepdefs.StepDefs - Browser got Maximize
2023-Feb-22 10:39:46 AM [main] INFO  vit.automationTesting.stepdefs.StepDefs - Browser implicit timeout set to :> 20
2023-Feb-22 10:40:00 AM [main] INFO  vit.automationTesting.pageObjects.LandingPageObject - Browser got invoke the base URL:> https://amazon.in
2023-Feb-22 10:40:00 AM [main] INFO  vit.automationTesting.pageObjects.LandingPageObject - Assertion of page Validation title was passed with expectes as:> Online Shopping site in India: Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.inAs Actual was:> Online Shopping site in India: Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.in
2023-Feb-22 10:40:01 AM [main] INFO  vit.automationTesting.pageObjects.LandingPageObject - Waiting for Element:> SearchBoxElement to be clickable
2023-Feb-22 10:40:01 AM [main] INFO  vit.automationTesting.pageObjects.LandingPageObject - Sending Key into WebElement:> SearchBoxElement
2023-Feb-22 10:40:05 AM [main] INFO  vit.automationTesting.pageObjects.LandingPageObject - Clickimg on the Search Button
2023-Feb-22 10:40:06 AM [main] INFO  vit.automationTesting.stepdefs.StepDefs - Browser got Closed
2023-Feb-22 10:40:09 AM [main] INFO  vit.automationTesting.stepdefs.StepDefs - Browser got Set
2023-Feb-22 10:40:09 AM [main] INFO  vit.automationTesting.stepdefs.StepDefs - Browser got Maximize
2023-Feb-22 10:40:10 AM [main] INFO  vit.automationTesting.stepdefs.StepDefs - Browser implicit timeout set to :> 20
2023-Feb-22 10:40:18 AM [main] INFO  vit.automationTesting.pageObjects.LandingPageObject - Browser got invoke the base URL:> https://amazon.in
2023-Feb-22 10:40:18 AM [main] INFO  vit.automationTesting.pageObjects.LandingPageObject - Assertion of page Validation title was passed with expectes as:> Online Shopping site in India: Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.inAs Actual was:> Online Shopping site in India: Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.in
2023-Feb-22 10:40:18 AM [main] INFO  vit.automationTesting.pageObjects.LandingPageObject - Waiting for Element:> SearchBoxElement to be clickable
2023-Feb-22 10:40:19 AM [main] INFO  vit.automationTesting.pageObjects.LandingPageObject - Sending Key into WebElement:> SearchBoxElement
2023-Feb-22 10:40:23 AM [main] INFO  vit.automationTesting.pageObjects.LandingPageObject - Clickimg on the Search Button
2023-Feb-22 10:40:25 AM [main] INFO  vit.automationTesting.stepdefs.StepDefs - Browser got Closed
