2023-Feb-25 15:36:02 PM [main] INFO  vit.automationTesting.Core.WebDriverFactory - Chrome Browser Invoked
2023-Feb-25 15:36:03 PM [main] INFO  vit.automationTesting.Core.WebDriverFactory - Browser gor maximize and implicit wait dor 20 seconds
2023-Feb-25 15:36:03 PM [main] INFO  vit.automationTesting.stepdefs.StepDefs - Browser got Set
2023-Feb-25 15:36:28 PM [main] INFO  vit.automationTesting.pageObjects.LandingPageObject - Browser got invoke the base URL:> https://amazon.in
2023-Feb-25 15:36:31 PM [main] INFO  vit.automationTesting.pageObjects.LandingPageObject - Assertion of page Validation title was passed with expectes as:> Online Shopping site in India: Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.inAs Actual was:> Online Shopping site in India: Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.in
2023-Feb-25 15:36:34 PM [main] INFO  vit.automationTesting.pageObjects.LandingPageObject - Waiting for Element:> SearchBoxElement to be clickable
2023-Feb-25 15:36:36 PM [main] INFO  vit.automationTesting.pageObjects.LandingPageObject - Sending Key into WebElement:> SearchBoxElement
2023-Feb-25 15:36:52 PM [main] INFO  vit.automationTesting.pageObjects.LandingPageObject - Clickimg on the Search Button
2023-Feb-25 15:37:16 PM [main] INFO  vit.automationTesting.Core.WebDriverFactory - Browser got Closed
