2023-Feb-22 10:56:29 AM [main] INFO  vit.automationTesting.stepdefs.StepDefs - Browser got Set
2023-Feb-22 10:56:30 AM [main] INFO  vit.automationTesting.stepdefs.StepDefs - Browser got Maximize
2023-Feb-22 10:56:30 AM [main] INFO  vit.automationTesting.stepdefs.StepDefs - Browser implicit timeout set to :> 20
2023-Feb-22 10:56:39 AM [main] INFO  vit.automationTesting.pageObjects.LandingPageObject - Browser got invoke the base URL:> https://amazon.in
2023-Feb-22 10:56:40 AM [main] INFO  vit.automationTesting.pageObjects.LandingPageObject - Assertion of page Validation title was passed with expectes as:> Online Shopping site in India: Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.inAs Actual was:> Online Shopping site in India: Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.in
2023-Feb-22 10:56:45 AM [main] INFO  vit.automationTesting.pageObjects.LandingPageObject - Waiting for Element:> SearchBoxElement to be clickable
2023-Feb-22 10:56:46 AM [main] INFO  vit.automationTesting.pageObjects.LandingPageObject - Sending Key into WebElement:> SearchBoxElement
2023-Feb-22 10:56:58 AM [main] INFO  vit.automationTesting.pageObjects.LandingPageObject - Clickimg on the Search Button
2023-Feb-22 10:57:25 AM [main] INFO  vit.automationTesting.stepdefs.StepDefs - Browser got Closed
